,reviewText,overall
1906,I got a hot spot on the bottom of my foot the first day I wore them.,3.0
1907,"Still breaking them in for use at the gym.  I think once I get used to them, they'll work great!  :)",4.0
1908,Not a fan. Shoes looked great but too narrow for most feet.,3.0
1909,"I love these shoes. I exercise in them as well as just take them on longer walks. Feels good, looks GREAT!!",5.0
1910,fits perfect,5.0
1911,Very comfortable shoes. I have wide feet with falling arches. These help both and are comfortable enough that I can be in them all day long.,5.0
1912,"Unfortunately, this Flex Supreme does NOT have enough support over the toe and ankle are for my requirements.
Returning for credit.  Thanks anyway.",1.0
1913,After using this shoes seven times for regular activities like walking or dancing the sole came out. I am very disappointed. I don't recommend this product at all. The worse part is that I can not return this item because the return window closed 4 days ago.,1.0
1914,Fit like gloves to my feet! Perfect for workouts.,5.0
1915,"I've worn these to work out for 5 days in a row now. Initially, my arches ached but over time the discomfort subsided entirely. I've done everything from bootcamps, resistance training, running and Zumba. So yeah.., they are truly crosstrainers ;-)",4.0
1916,I liked these shoes a lot. Very light weight. I didn't give a 5 because the color was a little lighter than I thought it was going to be but still a great shoe. Very comfortable,4.0
1917,Love them !!!,5.0
1918,I love these shoes! Great arch support and perfect for cardio.,5.0
1919,I workout at the local crossfit and find that these shoes help give me good support  with my endurance workouts.,5.0
1920,"These shoes look really great. However, slightly loose. The problems with lack of support arose when I exercised. It feels like there is little to no support in them. Possibly this is a shoe more geared for an office environment or short walking distances.",3.0
1921,These are my favorite walk around shoes! I can wear them all day and not be in pain! Love em!,5.0
1922,"Favorite training and walking-around sneakers.
They look good with just about anything, and are comfortable for most situations.
With the exception of running (for which I use proper Mizuno running sneakers with an arch-support insole), these sneakers are my go-to.
If I could, I'd take away a 1/2 star for arch support - I have a slightly wider front of the foot and arches that are a little on the high side, so I do look for a good under the foot fit. I could probably tie the laces differently or put in an insole(they're pretty expensive), but as is, when I did a zumba class in these, my arch began to twinge :(
However, this is overall an awesome shoe that I will continue to stick with for going out, day to day walking, and for training and gym use (with the exception of running and zumba (although hip-hop was fine). The shoes have a great flexibility to them and don't look ""dirty"" easily. My previous pair of flex supreme TR 3s have lasted for a good 2 years and are just now on the verge of being worn out. This is the optimal sneaker that is flexible in more ways than one: from pointing you toes to leg-pressing, from gym use to shopping to adding a sporty edge to a dressy night out, the flex has it all.",5.0
1923,"Love these! I have 3 pairs...they're so comfortable - I'm on my feet all day & my feet actually don't hurt at the end of the day when I wear these :)
I've learned to get these 1/2 size smaller....I'm normally a size 7 and the 6 1/2 fit perfectly",5.0
1924,Great shoes. Lightweight and comfortable,5.0
1925,BEST. SHOES. EVER.  I bought two pairs in different colors- black n' white and the pink and white...  They have AWESOME support for whatever you use them for.. I have one for work and the other for training/running/etc in...,5.0
1926,These sneakers give me the motivation to workout because they feel so good and are great for any training,5.0
1927,"I LOVE the look and comfort of these shoes for style and lifting weights. Super cute and flezable. BUT for running, absolutely not!! It might just be my pronation/supnation and these shoes just do not work for my personal stride. I run about 2-4 miles every few days. Average of 8 miles a week and then sprints twice a week on a treadmill. Just after running with these 3 times, I am having major back issues that I have never had before.

MY STATS and other shoes:
I road and trail run. I run on my tip toes on the treadmill and a lot of heal on the road. I am 5'6 169lbs with more muscle than an average runner. Built more like a sprinter than a marathon runner.
I LOVE Nike FLEX bottoms. They really give me support and flex needed. I have also used Asics and Puma.",3.0
1928,Size 5. Very comfortable shoes. Love!,5.0
1929,"I bought a wide size of these at a local store and they are amazing!  Soft, comfy, with moderate support.  Not a cloud to walk on, but not minimalist.  The wide size is perfect for my wide feet with high arches.  The shoe tends to run about a half size long though, especially for Nike.  I am working on getting in shape, and these shoes feel good all day... No rubbing on my big toe joint or pinkie toe or heel.  Very pleased.",5.0
1930,I always buy the same size this ones came to large,3.0
1931,"Nice shoes, fit good",5.0
1932,I bought these for my wife. She saw them in the store but did not have their size so i ordered on amazon. She loves them . She already had for a couple of months and no complains at all. One of her favorites shoes for running or for her job since she walks a lot in the warehouse. Now she loves me more. :),5.0
1933,Love these shoes. My feet have been weird since I was pregnant and my old shoes were uncomfortable. These are very comfy and help me get active. They are also stylish and go with anything.,5.0
1934,"Look better than the picture, very comfortable, great support.",5.0
1935,Love my new Nike's.  It's been years since I've been able to wear them (sizing changed years ago and I just couldn't wear them any more) but now the new styles and sizing are perfect.  Lightweight shoe with tons of style.  The Fog color is just what I was looking for...not black and not neon!  I wore them to participate in Relay for Life (24 hour walk) and they held up great!,5.0
1936,"I am so happy with this purchase. I feel like I'm barely wearing a sneaker when working out. Another plus is that when I take off my sneaker, my sock is barely sweaty! I have never had that experience with a shoe. The shoe is also very attractive and flattering and looks nice on my feet.",5.0
1937,Absolutely love them. Can even wear them without my insoles.,5.0
1938,"Super cute shoe however runs wide and big, I'm a size 10 however this size 10 is too big. I went to a sporting goods store and tried the same shoe on  turns out with this particular shoe I'm a 9.5, so order half the size u normally are.",3.0
1939,"Wore these for the first time hiking the bluffs. Not the best traction on well worn rocks, but super comfy. No blisters, no achilles pain like with other shoes. Will continue to purchase Nike shoes, because my feet love them for all activities! ( except my home workouts, they drag pretty hard on the carpet)",5.0
1940,"A-MA-ZING!  I needed a good jogging shoe and these make me feel like ""Forest Gump"".  I felt like I was running on a cloud.  I have narrow feet and these fit perfectly.  I am so happy that I am going to purchase another two pair as back-ups for once it's time to replace them.  Highly recommend to women who like to walk or run and light a light weight, comfortable shoe.",5.0
1941,"Comfortable and lightweight. Need a good training shoe that's also supportive and flexible.  I really like the fit, but had to get 1/2 size larger as this style in my size is too perfect from heel to toe.",5.0
1942,Excellent,5.0
1943,"These shoes are awesome!  They are nearly weightless and feel great on my feet.  The first day I wore them I wore them ALL day on vacation.  I put them on the next day and did the same.  Besides the comfort, they are really a cool color!",5.0
1944,Super cute!,5.0
1945,perfect,5.0
1946,"This is the most comfortable shoe I've ever had. No other shoe can compare to how the individual nubs on the bottom allow your foot to be cushioned, yet work like it's suppose to. My feet feel cradled in this shoe and hard surfaces don't make my feet ache anymore.

These shoes have a small amount of support, but not much, which I like as I'm coming from vibram five fingers. (Sorry vffs, I'm bailing after 2 years of shin splints, no matter what I did).

Highly recommended for walking/running on concrete or tracks. As long as nike continues to make the flex supreme, they will get my money. Please don't change this shoe!",5.0
1947,"I wear them for Zumba and my heel slips on turns. A little annoying because I have to pay attention but they are so cute and comfy, it balances out.",4.0
1948,Nice shoes,5.0
1949,"These run large. I wear a 9.5 exactly in every shoe, but these I bought a 9, and the toe area is pretty wide plus plenty long even with socks. Very comfy and very nice looking shoe. I love them but glad I was able to try them on before purchasing.",5.0
1950,"Perfect fit, very comfortable, and a great color. They also fit as expected.",5.0
1951,Really comfy and nice color,5.0
1952,"The picture makes the shoe look like it has a ""boxier"" toe rather than the ""pointier"" toe that it actually has. I have wider feet and generally need to buy a size or half size longer to get a comfortable width (in any brand of shoe). I was shooting for a rounder, broader toe design which is more comfortable for me, and I feel that the pictures of this shoe didn't accurately depict what I received, in that one detail. Otherwise, ""the shoe fits."" So I am wearing it.",4.0
1953,These are the most comfortable shoes I've used for working out. Extremely light weight and flexible. Loved them so much I purchased two more pair in different colors.,5.0
1954,Very comfortable and looks great!,5.0
1955,Love this shoes so comfy and great very everyday use. Runs big,5.0
1956,Nice looking and fit nice,4.0
1957,"I am a recess aide and on my feet all day long. I tried these shoes on in the store before purchasing them on Amazon. They are very lightweight and comfortable. I was surprised how great they felt. I haven't had a pair of Nikes since Nike shoxs came out. They are so much more lightweight than those. I wore them an entire day the first day and had no problems. The second day; however, I got a pain in my hip to the point where I started limping. As soon as I got home and took them off, the pain was gone the rest of the evening. I'm only 30 by the way. Nothing else in my daily routine changed except wearing these shoes two days in a row. I don't understand why it would make my hip hurt since they are comfortable on my feet, but I'm sure that was the problem. I wore different shoes today and had no pain. I don't think as much as I am on my feet I will be able to wear them an extended amount of time. I will have to rotate wearing them every other day. For normal wear, I believe, people will be fine. I am literally walking or standing six hours a day straight.

**UPDATE: So, initially after wearing them, I had hip pain after wearing them. I don't know if they just needed to be broken in, but I wear them all the time now and have not experienced any pain since the first couple times of wearing them. They are comfortable, and I love them even more now.",4.0
1958,Perfict fit for me. Great looking shoes at a great price.,5.0
1959,The sneakers are very comfortable and fit to size.,5.0
1960,"I've had these shoes for about a week now and have so far enjoyed using them. Considering the fact that I have wide feet, the shoes are slightly tight. However, it doesn't feel uncomfortable nor does it bothers me as I use them throughout my workouts. I know some people personally like when the shoes are a bit tighter or a bit looser so it's all in personal preference.",5.0
1961,I really like them!,4.0
1962,Good light weight shoe...had to add insole for more support.,4.0
1963,I love my tennis shoes,5.0
1964,"This is a shoe I will wear with black dress pants or jeans when I need comfort and a little style, but I am not impressed.  This is a very flimsy shoe with little support at all.  Not like any Nike I've ever purchased in the past.  It looks nice, but it's not comfortable.",3.0
1965,"Love it!! Super comfortable and nice!! Got more than I expected, super flexible great for training. Definetly recommend it.",5.0
1966,Excelente,5.0
1967,"These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",2.0
1968,"These shoes are poorly constructed and I don't expect them to last more that one summer.  Would not recommend, and will not order another Nike downshifter series again",2.0
1969,"For the price I spent on the pair of shoes, I'd say it's as good as expected.
It's comfortable and doesn't hurt my feet when I run.",4.0
1970,I always get a half size up in my tennis shoes. For some reason these feel to big in the heel area and wide.,3.0
1971,Put them on and walked 3 hours with no problem! Love them! So light feeling,5.0
1972,excelente,5.0
1973,"The shoes fit well in the arch area. They are a little wider in the toe area of the shoe, you feel like you have a lot of room. This does not make the shoe uncomfortable, just had to get used to it. Love the shoe.",4.0
1974,"Tried them on in a store before buying online so I knew they'd fit good. Overall I was looking for a durable cross training shoe that would hold up to my rigorous training and these have been great so far. They are really light and comfortable. Most importantly for me they have grips on the bottoms so my feet don't slide out from under me while doing planks, push-ups, etc. Highly satisfied with this purchase.",5.0
1975,I recommend that!,5.0
1976,"My son likes these, and this is the 2nd pair he's worn.",5.0
1977,"Love these shoes! Great fit, very light weight.",5.0
1978,"Super comfortable and fit my small feet perfectly. I have flat feet so a lot of shoes are not comfortable for long periods of time. I can wear the shoe all day long and they are super comfortable. They are light colored so any dirt will be seen right away, but they are easy to clean compared to other shoes Ive had. Would definitely buy another pair in a different color.",5.0
1979,Love these shoes!,5.0
1980,Comfortable,5.0
1981,Fit fine...did not like color in person,3.0
1982,The shoe is too large. When you do lunges it hurts the heel. The shoe size from a local store is the size I ordered from Amazon however the size or fitting seems to be large,3.0
1983,Really great for walking I'm very glad I got these and the color is fun,5.0
1984,Love these shoes. My feet feel so much better. Lots of padding and light enough to run in.,5.0
1985,ok but too big,3.0
1986,Love these shoes.. they are so comfortable.,5.0
1987,"In really like these. I wear between a 9-9.5 womens, I got the 9.5 and they fit perfectly. They are light weight but have good support. I will buy another pair.",5.0
1988,"Love these shoes!
So stylish and comfortable. Just got back from a trip to NYC, Black and white Nikes and yoga pants are in high fashion right now!",5.0
1989,"This shoe is JUST OK. Its not as comfortable as I was expecting, compared to my last pair of NIKE shoes. I hope they hold up.",3.0
1990,Best tennis shoes I've had all my life. Very comfortable out the box. I would buy 10 pairs of these shoes if had the money.,5.0
1991,The color pattern and fit is what I liked the most what I liked the least is that they are not easy to clean and stains do not come out very easy or at all,5.0
1992,"love these shoes. Workout in them 3-4 times a week at the gym. I do treadmill, stairmaster, cardio classes and weight lifting. lightweight and versatile shoe.",5.0
1993,"Great shoe. I've had Nike's before and have always been pleased with the comfort, performance, and quality. Though I will say this was the first time I ordered a pair online without trying them on first, so I was nervous. But this turned out to be a great choice. Breathable, lightweight but sturdy, and comfortable during all my workouts. The built-in arch support is great and I've had no discomfort after 2 weeks of use. As far as the sole thickness and cushioning goes, I would consider these a 'medium' build (not thin, not overly thick) so if you're into heavy running outdoors then take that into consideration. Everyone is different in their preference for cushioning, but I think for light runs on a treadmill they would be sufficient. Love these, highly recommend!",5.0
1994,The material is real then hope they don't fall apart . to expensive for what you get.,3.0
1995,Nice,3.0
1996,Gracias,5.0
1997,Love these shoes!! They are true to size and very comfortable!! This is my second pair - I wore out the first pair!! Good arch support - I have a high arch!!,5.0
1998,,5.0
1999,Great arch support and comfortable.,5.0
2000,It looks a bit nicer on the picture. Its very light in such a way that when I held the box I wondered if there was just paper filling inside. They are comfortable for the most. Good looking training shoes overall.,4.0
2001,second pair. Comfortable and great for people with bunion issues or previous surgeries.  Sole wears great,5.0
2002,My daughter loves these shoes. Fit true to size.,5.0
2003,Purchased for my daughter for gym class.  She loves them.  Very cute and very comfortable.,5.0
2004,Great look but zero support inside the shoe. Had to buy expensive inserts to be wearable. Expected more from a nike shoe.,3.0
2005,"Straight out of the box, these shoes are great! Very lightweight and fits comfortably on my feet like a glove! I love most especially that the sole is not bulky like my previous running shoes  I hated those things lol! I would give them a shot and they are great for the price!",5.0
2006,Great shoes. Fit perfectly. Comfortable right from the start. Light weight and perfect for a 12 hour work shift. Good price also.,5.0
2007,I love them! They fit perfect and are very comfortable!!,5.0
2008,Love these lightweight shoes! Absolute favorite. Always order half a size bigger with nike shoes than with every other shoe in my closet.,5.0
2009,My knees were bothering me during HIIT workouts so i  purchased these shoes after researching many styles.  Fit true to size and are lightweight.  My knees feel better so so hard so good.  They are cute in too!!,5.0
2010,Love the color!,5.0
2011,"Comfortable athletic shoe,  good for the gym (ellipical, tredmill, etc.) Fit is good, and shoe is really lightweight and comfy.",4.0
2012,"The shoes fit perfectly and came within the time frame i was given.  Very comfortable, which is needed since my job requires a lot if standing abd walking throughout the day.",5.0
2013,They looked very cheap,1.0
2014,The fit is as expected,5.0
2015,Very comfortable shoes. This is my second pair of this style of shoe because I loved them that much.,5.0
2016,"Comfortable, consistent each time I order and good looking",5.0
2017,I love the shoe and it fit as expected the photos and description are accurate if you're looking for a shoe that has more cushion or support try a different style but as far as wanting a lightweight and breathable shoe this is it. I am very satisfied with this purchase,5.0
2018,These are so cute and comfortable and very light. I just received them today and the fit is perfect. I normally wear an 8 1/2 and they are true to size!,5.0
2019,I always order a 1/2 size up in workout shoes.,5.0
2020,"I wore these shoe one time, from the airport in Omaha, NE to the airport in Phoenix, AZ. When I arrived in Phoenix, the left shoe/sole started squeaking and won't stop. I want to return for a refund. Need instructions for returning as no paperwork was in my package when it arrived.",1.0
2021,They run big and are super uncomfortable and the soles squeak. They don't breathe at all.,2.0
2022,Exactly what I expected! Comfortable and chic,5.0
2023,They were a gift  to my daughter she loved them,5.0
2024,Love these comfy shoes. they fit like a glove.,5.0
2025,Very confortable.,5.0
2026,i love these shoes.,5.0
2027,"Lightweight, decent arch support and comfortably to wear all day doing regular activity and sprinting.",5.0
2028,daughter loves them,5.0
2029,"I ordered a 1/2 size smaller than my usual size, and they are perfect. These shoes are hard to find. Great customer service as well.",5.0
2030,"Very good overall.
Now Ive been a huge Sketchers Go Walk fan for some time and the only reason I tried these instead of the latest number 4 of those is because the tread looked too slippery to me.
These shoes are very sturdy and the grip of the soles has been very solid so far. I use them for basic workout cardio and cross training, as well as work as a massage therapist (I go through shoes fast enough that Ive recently consolidated).
If you're a Go Walk fan, these do not offer the same level of cushion-comfort as those, HOWEVER, they offer the kind of long-term comfort to make them a durable option.
The material of the shoes seem very durable and the breathable. My feet do not feel hot in them.
Now these shoes are ideal for a basic workout or cross training, I would not get them to do 25,000 steps in Walt Disney World.
Solid choice, overall.",4.0
2031,Wife loves them!,5.0
2032,"These shoes are extremely comfortable, and fit as expected.  Will purchase again.",5.0
2033,Artculo equivocado en color,1.0
2034,"On the left shoe, there were two stained yellow spots.",3.0
2035,"I love these, I had the previous iteration (or maybe two earlier?) and finally wore them out after several years. They are definitely a light-weight training shoe so I wouldn't get them if you are going to be doing a lot of running. But this also makes them extremely comfortable, I hadn't realized how hot running shoes made my feet until I switched to these. Good support and my feet stay cool all day, also noticeably light but well-made and long lasting.

I have worn them hiking in a pinch but don't really recommend it because the material is mesh-like and will let a lot of dirt in. But if you mainly take cardio classes and/or do weight training or just need something to wear around town look no further.",5.0
2036,"Super light-weight, decent arch support (mine is higher than average).  I was pleasantly surprised by the sole/tread on these for my circuit training classes, as I couldn't really tell by online pics.  Also pleasantly surprised that these ran ever so slightly bigger than Nike running shoes I use to wear 15+years ago - I always wore one to 1.5 sizes larger in their ""Hurache's""/running shoes, so I was really worried my size 6 would be too small - there is actually more toe room in these shoes than any other size 6 shoe I own (athletic, heel, boot).  But it is the correct amount of room from big toe to edge of shoe for me (an inch or less, I don't want my big toe being jammed into edge of shoe when lunging, jumping, etc.).  Shoes arrived with an odd yellowish color on side of one shoe, but no damage to box, paper lining etc - I was happy that a clorox wipe easily cleaned the shoe and did not discolor any further.  I am very happy and highly recommend, although I have only worked out it once!",5.0
2037,I Love it. It is very light and the color is great.,5.0
2038,"My wife loves these shoes. We have both been wearing sketchers and new balance for several years and recently we have both purchased Nike. There is a reason why Nike is still number 1 after all these years, you just cant beat their comfort.",5.0
2039,"Absolutly love these shoes!! Beautiful color, comfy, and lightweight",5.0
2040,"I **loved** these shoes when I got them. I've noticed that the foam inside tends to compress during a workout, though. I'll lace them tightly enough that they're nearly cutting off my circulation. 20 minutes later, I'm sliding out of them while doing sled pushes.",2.0
2041,She loves them,5.0
2042,"These are a bit longer than they should be. I usually wear a 9 but could have easily ordered a 8.5. The width is accurate.

The pink is even pinker than shown and the light gray is over the very bright pink so it isn't as gray as shown in the picture. It makes the shoe a bit overwhelming. Also two grommets on each shoe is dark. I'm not referring to the dark grommets closer to the toe as shown in the photo, I'm talking about two grommets up at the top of of the laces (opposite side of side shown in photo). I thought it was faulty at first until I noticed they were on the same side of each shoe. Kind of odd and not pictured.

Overall, they are very comfortable shoes which is why I am keeping them...even if you can see me coming from a mile away.",3.0
2043,great,5.0
2044,c,5.0
2045,Love them!,5.0
2046,"Very nice shoe, just a bit to snug/small for my foot. The Flex wire really makes it the shoe fit tight to your foot. I need more ""wiggle"" room in my footwear, otherwise I would have kept them.",3.0
2047,"Not sure why, but my mid section of my foot starts to hurt using these shoes for a long day or a tough workout at the gym. I've owned other nike shoes of this line but that never happened to me.",3.0
2048,My New Gym shoes! Love them,4.0
2049,Perfect!,5.0
2050,Perfect!,5.0
2051,I usually wear a size 8 and they fit fine. These are way too narrow. Thought they might stretch out but they didnt. Had to give away.,1.0
2052,"Great shoe! Outside arch is kind of high, but I'm still breaking them in. So I'm sure that will work it's way out. I originally ordered a 9, my regular size, and it was a tad too big. Returned and ordered an 8.5 and it fits perfect!",5.0
2053,I had to return the first pair and buy a 1/2 size smaller.  First time I've had to buy smaller for Nike.,4.0
2054,Fit comfortable,5.0
2055,"My favorite running shoes!  The wall of the shoe is very thin, which makes them very comfortable to wear if your feet swell as you run.  I would not recommend for use on concrete or a treadmill, as there isn't very much impact absorption, but they are perfect for trail running!",5.0
2056,Nice fit,4.0
2057,"I bought these for gym training - weight class and dance class (body jam, Zumba) - and really wanted to like them, since I loved the color and the light weight feel. But when I worked out high impact, my toes tingled, went numb and cramped because the toe bed is very narrow. Also, there wasn't enough cushion for me. When doing lunges, the ball of my feet hurt. Can't return them because I wore them several times. These might be fine for someone with a narrow foot.",2.0
2058,"They fit perfect, extremely comfortable",5.0
2059,No arch support but l love the colors!,3.0
2060,Shoe was somewhat large,4.0
2061,love them!,5.0
2062,"This is a great shoe for in gym workouts. I did take a 10 mile hike and had a blister on my pinky, but other than that these are very comfortable shoes!",4.0
2063,Comfortable and light,5.0
2064,Purchased these for my wife as she has a similar pair that is wearing out.  She has feet are difficult to fit and these fit perfectly without pressure on sensitive portions of her feet.,5.0
2065,"I have pretty high arches and my calves always hurt at the gym with other shoes. I have been on the hunt for a good cross trainer that I can use to lift, take gym classes, and lightly jog/run on the treadmill. These have been wonderful! I don't ever have any pain in my calves or my feet when wearing these and they fit like a glove. Highly recommend!",5.0
2066,Great shoes,5.0
2067,These were exactly what I expected.,5.0
2068,Love love love,5.0
2069,I always wear a womans 9 in Nikes but these are bigger than usual. The right one almost slips off my foot a bit.  They are really light and not as sturdy as what I was looking for but over all not bad.,3.0
2070,These shoes are awesome!!,5.0
2071,"l always buy Nike shoes and been happy so far, but this time my left shoe fit perfectly while the right shoe was too loose on my heal and when I tighten it more it was hurting side of my foot.",3.0
2072,Bought these as my back up shoes but they have turned into my daily ones I go to! So comfortable and my feet don't hurt after long hours on my feet. I own a cleaning business so I need my feet not to hurt in the middle of the day.,5.0
2073,Absolutely love these shoes and color!! They are perfect for running! I run roughly 4 miles 3x per week. This is my second or 3rd pair of this exact style. Fit is perfect!,5.0
2074,Super comfy!,5.0
2075,Ordered half a size larger than my usual shoe size and fits perfectly.,5.0
2076,Fit well.,5.0
2077,The fit was perfect! I Highly recommend this shoe.,5.0
2078,"Obsessed with these shoes! I was looking for good all around sneakers (running, walking, tennis, etc.) and these more than fit the bill. I was looking specifically for black nikes (I love the fit) with white soles (good for court sports); I was a little reluctant to purchase because I wasn't sure whether the black on the soles would contact the ground, but it doesn't!",5.0
2079,"Cute shoe, fit as expected, and very comfortable.",5.0
2080,"On time, nice sneakers. Fit as expected.",5.0
2081,"Perfect fit, as always.",5.0
2082,"Great shoe, very comfortable",5.0
2083,Love these sneakers! Perfect fit and super light,5.0
2084,These shoes fit like a glove! Light but very supportive! I have worn them several times and feel very light on my feet.,5.0
2085,Fit true to size,5.0
2086,Love the fit,5.0
2087,Nike always makes a good shoe ..abit rough breaking them in but after 9 hours on my feet anyone's feet would hurt abit,4.0
2088,Oops! I returned these because I ordered wrong size!,1.0
2089,Extremely comfortable sneaker!,5.0
2090,Good looking shoe,5.0
2091,I have had this style before in a different color and have received many compliments on the shoes.  They are great walking shoes!  I wear orthotics and these shoes are one of the best I have found to accommodate them for fit.,4.0
2092,"I loved these shoes...that is until after about an hour of wear, the green inserts on the sole of the right show began falling off. The wear was in my home, on smooth floors. I can only assume they were defective.",1.0
2093,Great! Super comfy and cute! No issues and fit perfect!,5.0
2094,Good shoes,5.0
2095,I returned them...found a Ryka pair I liked better,3.0
2096,BEST sneakers I've ever purchased!!!!,5.0
2097,Excellent ...!!!,5.0
2098,"the best sneakers by far! I had never owned a pair of Nike sneakers, and I went solely on the reviews by others...
And I absolutely loved them!!",5.0
2099,"Love these shoes. I've been buying Nikes for years now. I bought this pair for work and everyday wear and another pair for working out and active wear. They also last a long time in my opinion, especially if you take care of them.",5.0
2100,Right one is slightly tight.. hope it will stretch out.. !!,4.0
2101,They're ugly: the toe is rounded and the material is weird. the Nike Womens Flex Trainer 6 is way better looking and costs about the same.,3.0
2102,So lightweight and awesome!,5.0
2103,Luv them!!,5.0
2104,Love the color and fit. I use them to work on at the gym on the treadmill and they are very light and comfortable.,5.0
2105,"Bought these shoes with HIIT in mind, but not too sure how I like the fit on my foot. First time to wear them, not great for running. Maybe after they're broken in a little they'll get better. If you just need a comfortable pair of shoes for walking, they're fine.",3.0
2106,My daughter loves them. Great fit!,5.0
2107,This is a very attractive shoe. It is true to size and fits as expected. Very satisfied with the seller - delivered on time.,5.0
2108,"Fits good, very lightweight.",4.0
2109,"Comfortable shoe for both workout sessions and walking.  Neither too bulky nor too light.  This is my second pair because they fit and have no neon or pink colors, just nice basic B&W.",5.0
2110,,5.0
2111,Nice,5.0
2112,These are the best shoes I have ever use for my workouts!!! I love them and buy them in bulk!!! LOL,5.0
2113,I love these shoes.  They fit as expected and they look really nice on.  These shoes have a narrow base which I really like.  I don't like the ones that make your foot look wide.,5.0
2114,Love this product.  Great fit.,5.0
2115,Very low cut heel so if you training and pushing sleds - I ran right out of shoes! Although the traction on toe and heel are great,3.0
2116,Just what I needed for Group Fight class. Quick movements and footwork are so easy in these sneakers. Love them.,5.0
2117,Love! Great price too.,5.0
2118,"It's been a long time since I've worked a cross training shoe. This shoe is very light and minimally passed compared to running shoes. That's not meant to be a knock, just a fact.

I ordered the shoes half a size up because as a former runner, I'm used to my feet needing room to spread and swell. I wish I hadn't because they feel a little roomy. I have orthotics, so I think I can remedy the issue once I swap those in.

Otherwise, very good shoes",4.0
2119,"Good indoor training shoes for running on treadmill, doing lunges and regular exercises at the gym. These are very flexible, light weight and comfortable. Grip is okay - sticky rubber is used only at the edges of heel and toe areas so I slipped a little when I worked on cable machines, resistance band, etc. on un-carpeted floor.  I would emphasize that if you do lifting as a part of your everyday routine workout I would not recommend them because mine (cushion) lasted only for six months and this is the reason I gave three stars. Other than that, I liked them!",3.0
2120,Perf.,5.0
2121,Best shoes ever!!!,5.0
2122,Fit good,5.0
2123,I use these for my Cardio Dance class and they are perfect and very cute. I would definitely recommend. They also cam earlier than expected!!,5.0
2124,"I love these shoes so much that  I reordered another pair online. It's hard to find shoes that fit my really wide feet! The heel back is my favorite part on them, they're thin and feel like another layer of skin, not bulky or tight at all.  I walked all over Europe in these!",5.0
2125,Love these sneakers. Light weight and comfortable even without socks.,5.0
2126,Nice product,4.0
2127,I feel like this pair of shoes was made for my feet. Great fit and comfort! Very pleased with this purchase.,5.0
2128,Quick tranasaction!!!  Loved the shoes!!!  Would purchase from them again!!!,5.0
2129,"I got the impression it's cushiony and comfy by reading the reviews on this product, when i tried it on it was a much firmer than my other work shoes, i'm standing all day and need enough support and comfort, this isn't the right product for that.
So i had to return it, but i would assume it would work fine for training.

It looks decent and clean. and seems sturdy.  just not the right thing for me.
I was refunded instantly upon returning so.. credit for that.",3.0
2130,"So comfortable, I don't even feel like I have a sneaker on. Based on the other reviews I got a half a size up and glad I did.",5.0
2131,they are very comfortable feel like you have nothing on.,5.0
2132,My favorite nike shoe,5.0
2133,Super comfortable and extremely lightweight. Great for crossfit!,5.0
2134,Beautiful I love them comfy,5.0
2135,I've not even had them a month and the bottom is coming off. I'm not happy!,1.0
2136,Love them! Fit exactly as expected in length and width! I would definitely buy these again.,5.0
2137,Great shoes,5.0
2138,"My second pair, love the fit, light weight and great support.",5.0
2139,I have wide feet and these were too narrow but very nice looking.,4.0
2140,Ugh... way to large - is this for a man?,3.0
2141,The shoe fit has expected. It is comfortable.,5.0
2142,"They fit great, look great, are quite comfortable and are just what I was looking for!",5.0
2143,"Super comfy, true Size , I use them for boot Camp,  cross fit and they are great , absolutely recommended it.",5.0
2144,"Love them absolutely comfortable. I'm very picky with sneakers and this ones for the price are great I use them for cross fit , boot camp & they work great . The sole is very flexible , true size . I have a wide feet and they fit perfectly. Very nice looking Great sneakers.",5.0
2145,Wife happy with fit.,4.0
2146,They run big. Order a full size smaller.,4.0
2147,"Super light and very comfortable. I'm a runner and they lack a bit in arch support, so the soles of my feet are a sore. I'm going to add an insert to try fix the problem.",3.0
2148,"Just because they are white, they do need a washing regularly but I have received many compliments on how pretty these white and pink shoes are. Extremely good Nike quality. Highly recommended.",5.0
2149,Arrived in time. Fit as exoected. They take some breaking in but I wore them 2 days in a row for more than five hours per day.,5.0
2150,I've been using these to exercise and they are nice a roomy and allow my feet to breath. Also love the colors.,5.0
2151,Comfortable from the start and very light.,5.0
2152,As expected.,5.0
2153,"Lightweight, comfortable, supportive. Very happy I bought these shoes for working out.",4.0
2154,"I love these and have them in a light blue too. Very light weight, airy, and comfortable.",5.0
2155,good quality,5.0
2156,Very comfortable sneakers and I also like the way it fits.,4.0
2157,"Purchased to wear for weightlifting and Zumba. Zumba trial was last night, and they were great! Super comfortable, good ventilation! Not too much padding, very minimalist, which is just what I wanted",4.0
2158,Comfortable and lightweight.,5.0
2159,"I love these shoes my second pair of 40 plus $ shoes and they both have certainly out done the $100 K-swiss that I'm looking to return . The shoes are extremely comfortable, all my clients love them, just wish they came in more colors.",5.0
2160,"They fit as expected and perfect for training, the shoelaces are a little bit too long. Other than that these shoes are as I expected them !",4.0
2161,Extremely well fitting and light weight,5.0
2162,Perfect,5.0
2163,Love them,5.0
2164,"I love these shoes and have worn them for a long time. That are comfy, thinner on the top & sole and are very cute!",5.0
